fromId,toId,car_time
06085503108,06085505009,20
06085503108,06085504001,15
06085503108,06085512100,26
06085503108,06085512017,12
06085503108,06085503506,16
06085503108,06085506802,11
06085503108,06085506804,12
06085503108,06085505403,20
06085503108,06085503204,10
06085503108,06085504414,23
06085503108,06085504317,18
06085503108,06085502604,12
06085503108,06085508800,21
06085503108,06085508900,21
06085503108,06069000801,60
06085503108,06069000702,56
06085503108,06085508203,21
06085503108,06085505600,18
06085503108,06085508004,19
06085503108,06085507401,19
06085503108,06085503326,18
06085503108,06085512001,17
06085503108,06085503327,14
06085503108,06085504308,27
06085503108,06085512036,13
06085503108,06085507600,29
06085503108,06085503504,15
06085503108,06085501700,10
06085503108,06085502001,15
06085503108,06085502901,10
06085503108,06085507806,22
06085503108,06085508303,22
06085503108,06085500901,15
06085503108,06085502101,16
06085503108,06085512027,7
06085503108,06085503902,17
06085503108,06085504314,20
06085503108,06085511915,9
06085503108,06085512021,10
06085503108,06085505401,21
06085503108,06085502301,9
06085503108,06085506302,16
06085503108,06085506703,16
06085503108,06085506801,14
06085503108,06085500600,14
06085503108,06085502601,10
06085503108,06085507905,18
06085503108,06085507301,21
06085503108,06085504316,18
06085503108,06085512005,5
06085503108,06085508504,23
06085503108,06085502702,12
06085503108,06085505100,16
06085503108,06085506701,18
06085503108,06085511702,25
06085503108,06085503330,29
06085503108,06085510600,31
06085503108,06085509401,28
06085503108,06085504102,19
06085503108,06085504311,21
06085503108,06085504201,19
06085503108,06069000400,51
06085503108,06085512308,28
06085503108,06085503115,13
06085503108,06085513000,34
06085503108,06085512024,7
06085503108,06085503334,23
06085503108,06085511608,35
06085503108,06085511910,12
06085503108,06085503304,13
06085503108,06085509802,25
06085503108,06085510802,27
06085503108,06085512314,27
06085503108,06085506702,15
06085503108,06085511100,27
06085503108,06085507702,23
06085503108,06085504420,31
06085503108,06085512401,34
06085503108,06085510001,25
06085503108,06085512033,14
06085503108,06085504417,39
06085503108,06085510700,30
06085503108,06085500800,12
06085503108,06085504002,13
06085503108,06085504202,22
06085503108,06085512022,14
06085503108,06085511704,27
06085503108,06085502909,8
06085503108,06085512305,34
06085503108,06085510002,22
06085503108,06085512034,15
06085503108,06085512402,33
06085503108,06085501900,12
06085503108,06085502202,11
06085503108,06085506304,18
06085503108,06085507203,15
06085503108,06085510500,29
06085503108,06085504422,23
06085503108,06085512052,9
06085503108,06085503337,12
06085503108,06085509109,22
06085503108,06085511400,29
06085503108,06085503331,19
06085503108,06085503325,16
06085503108,06085505900,17
06085503108,06085511609,34
06085503108,06085503312,30
06085503108,06085511800,58
06085503108,06085503709,16
06085503108,06085509102,23
06085503108,06085508102,20
06085503108,06085506603,16
06085503108,06085501102,15
06085503108,06085508304,22
06085503108,06085512510,47
06085503108,06085509302,27
06085503108,06085511907,12
06085503108,06085508507,21
06085503108,06085502201,13
06085503108,06085503802,18
06085503108,06085503803,18
06085503108,06085506503,15
06085503108,06085512307,28
06085503108,06085502902,9
06085503108,06085511000,27
06085503108,06085512053,10
06085503108,06085512503,43
06085503108,06085507904,22
06085503108,06085505008,18
06085503108,06085509303,25
06085503108,06085502500,7
06085503108,06085508703,23
06085503108,06085503214,11
06085503108,06085504416,19
06085503108,06085507402,16
06085503108,06085508401,23
06085503108,06085511911,18
06085503108,06085512602,36
06085503108,06085503208,11
06085503108,06085502002,13
06085503108,06085500300,13
06085503108,06085504315,20
06085503108,06085505001,18
06085503108,06085504601,34
06085503108,06085502400,8
06085503108,06085511200,29
06085503108,06085503213,12
06085503108,06085506204,17
06085503108,06085507002,28
06085503108,06085502903,7
06085503108,06085512312,27
06085503108,06085501101,13
06085503108,06085512509,39
06085503108,06085503804,16
06085503108,06085511705,33
06085503108,06085509304,24
06085503108,06085512035,17
06085503108,06085501300,13
06085503108,06085502910,9
06085503108,06085508204,21
06085503108,06085504318,17
06085503108,06085510200,26
06085503108,06085503322,17
06085503108,06085512309,28
06085503108,06085512505,35
06085503108,06085502302,11
06085503108,06085506900,20
06085503108,06085512043,12
06085503108,06085504415,21
06085503108,06085510400,28
06085503108,06085505700,18
06085503108,06085510100,23
06085503108,06085504411,20
06085503108,06085504307,17
06085503108,06085503903,16
06085503108,06085505202,18
06085503108,06085508301,22
06085503108,06085511909,23
06085503108,06085511905,11
06085503108,06085504803,23
06085503108,06085512310,24
06085503108,06085505305,21
06085503108,06085509000,21
06085503108,06085503305,13
06085503108,06085503602,15
06085503108,06085505304,20
06085503108,06085504323,19
06085503108,06085501800,11
06085503108,06085505301,20
06085503108,06085507906,19
06085503108,06085506501,17
06085503108,06085504700,28
06085503108,06085505800,16
06085503108,06085507001,29
06085503323,06085512042,14
06085503323,06085503306,7
06085503323,06085503108,15
06085503323,06085503323,0
06085503323,06069000600,56
06085503323,06085503401,8
06085503323,06085512020,13
06085503323,06085503110,12
06085503323,06085512029,15
06085503323,06085503118,9
06085503323,06085503116,12
06085503323,06085509107,26
06085503323,06085510803,29
06085503323,06085504418,16
06085503323,06085509902,26
06085503323,06085511301,31
06085503323,06085511913,22
06085503323,06085503703,9
06085503323,06085503105,13
