fromId,toId,walk_time
06085509107,06085508800,65
06085509107,06085508900,105
06085509107,06085508203,99
06085509107,06085507806,115
06085509107,06085508303,82
06085509107,06085508504,74
06085509107,06085511702,115
06085509107,06085509401,112
06085509107,06085509802,52
06085509107,06085510001,78
06085509107,06085510002,82
06085509107,06085510500,117
06085509107,06085509109,40
06085509107,06085509102,46
06085509107,06085508304,91
06085509107,06085509302,106
06085509107,06085508507,119
06085509107,06085509303,90
06085509107,06085508703,78
06085509107,06085508401,38
06085509107,06085508204,108
06085509107,06085510200,87
06085509107,06085510400,99
06085509107,06085510100,108
06085509107,06085508301,72
06085509107,06085504803,110
06085509107,06085509000,84
06085509107,06085505301,120
06085509107,06085504700,107
06085510803,06085510803,0
06085510803,06085511301,67
06085510803,06085509201,84
06085510803,06085510300,98
06085510803,06085509202,67
06085510803,06085509500,78
06085510803,06085509700,112
06085510803,06085510900,21
06085510803,06085509404,50
06085510803,06085509403,65
06085510803,06085509600,93
06085510803,06085509108,114
06085510803,06085511302,83
06085510803,06085510801,22
06085510803,06085511701,104
06085510803,06085510600,33
06085510803,06085509401,41
06085510803,06085513000,83
06085510803,06085511608,110
06085510803,06085509802,115
06085510803,06085510802,22
06085510803,06085511100,68
06085510803,06085510700,26
06085510803,06085510500,67
06085510803,06085509109,116
06085510803,06085511400,48
06085510803,06085511609,101
06085510803,06085509302,43
06085510803,06085511000,48
06085510803,06085509303,59
06085510803,06085504601,75
06085510803,06085511200,82
06085510803,06085511705,110
06085510803,06085509304,46
06085510803,06085510200,119
06085510803,06085510400,77
06085504418,06085504418,0
06085504418,06085504505,82
06085504418,06085504320,66
06085504418,06085504423,21
06085504418,06085504410,54
06085504418,06085504421,61
06085504418,06085504413,49
06085504418,06085504506,100
06085504418,06085504504,40
06085504418,06085504507,64
06085504418,06085504322,99
06085504418,06085504321,90
06085504418,06085504412,19
06085504418,06085505006,120
06085504418,06085504414,43
06085504418,06085504317,119
06085504418,06085504314,84
06085504418,06085504316,106
06085504418,06085504420,86
06085504418,06085504422,80
06085504418,06085504416,26
06085504418,06085504315,65
06085504418,06085504415,26
06085504418,06085504411,45
06085504418,06085504307,97
06085504418,06085504323,81
06085509902,06085509107,46
06085509902,06085509902,0
06085509902,06085509201,79
06085509902,06085508505,119
06085509902,06085510300,74
06085509902,06085509202,92
06085509902,06085509500,69
06085509902,06085509700,46
06085509902,06085508404,60
06085509902,06085509404,95
06085509902,06085508602,86
06085509902,06085508403,71
06085509902,06085509106,56
06085509902,06085509403,80
06085509902,06085509901,24
06085509902,06085509600,55
06085509902,06085508503,90
06085509902,06085509108,87
06085509902,06085511701,105
06085509902,06085507805,99
06085509902,06085508601,70
06085509902,06085509105,37
06085509902,06085508800,109
06085509902,06085508203,112
06085509902,06085508303,87
06085509902,06085508504,100
06085509902,06085511702,70
06085509902,06085509401,112
06085509902,06085509802,33
06085509902,06085510001,34
06085509902,06085510002,56
06085509902,06085510500,108
06085509902,06085509109,70
06085509902,06085509102,90
06085509902,06085508304,99
06085509902,06085509302,111
06085509902,06085509303,99
06085509902,06085508703,115
06085509902,06085508401,41
06085509902,06085510200,49
06085509902,06085510400,90
06085509902,06085510100,67
06085509902,06085508301,73
06085509902,06085504700,119
06085511301,06085510803,67
06085511301,06085511301,0
06085511301,06085510900,45
06085511301,06085509404,115
06085511301,06085511302,16
06085511301,06085510801,81
06085511301,06085510600,94
06085511301,06085509401,104
06085511301,06085513000,37
06085511301,06085511608,57
06085511301,06085510802,89
06085511301,06085511100,36
06085511301,06085510700,74
06085511301,06085511400,22
06085511301,06085511609,43
06085511301,06085509302,109
06085511301,06085511000,56
06085511301,06085511200,21
06085511301,06085511705,88
06085511301,06085509304,113
06085511913,06085511913,0
06085511913,06085503003,103
06085511913,06085502800,102
06085511913,06085512045,116
06085511913,06085512047,104
06085511913,06085511916,57
06085511913,06085506803,74
06085511913,06085511912,109
06085511913,06085502906,67
06085511913,06085512025,109
06085511913,06085502908,91
06085511913,06085511914,33
06085511913,06085502907,88
06085511913,06085506802,115
06085511913,06085506804,97
06085511913,06085512027,88
06085511913,06085511915,50
06085511913,06085512005,115
06085511913,06085512024,96
06085511913,06085511910,58
06085511913,06085502909,81
06085511913,06085512052,72
06085511913,06085511907,73
06085511913,06085512053,89
06085511913,06085502903,116
06085511913,06085502910,63
06085511913,06085506900,94
06085511913,06085511905,64
06085503703,06085503306,44
06085503703,06085503323,97
06085503703,06085503401,34
06085503703,06085503110,35
06085503703,06085503118,75
06085503703,06085503703,0
06085503703,06085503105,56
06085503703,06085503710,30
06085503703,06085503211,86
06085503703,06085500902,84
06085503703,06085501402,54
06085503703,06085503121,109
06085503703,06085501401,63
06085503703,06085503324,108
06085503703,06085503511,51
06085503703,06085503402,50
06085503703,06085503601,59
06085503703,06085503507,19
06085503703,06085503713,49
06085503703,06085503510,40
06085503703,06085503117,49
06085503703,06085500100,111
06085503703,06085503707,56
06085503703,06085503212,102
